,user,enrolled
30919,184274,1
40197,323163,1
34622,1015,1
33515,191632,1
45639,357407,1
40454,278559,1
42392,113203,0
26836,159922,1
17525,336086,0
33229,348614,1
3575,228058,0
35913,48786,1
8908,233718,1
30351,278010,1
9429,155177,1
48586,33584,0
29792,36022,1
29366,47280,0
15870,143476,0
34532,18372,1
40145,32694,1
14341,106988,1
17646,242021,0
19162,352013,0
44969,183843,0
23091,61617,1
10158,174310,0
7115,242802,1
98,93890,0
35150,90394,0
18478,229828,1
8698,16840,0
40062,197825,1
34305,370809,1
43405,194146,0
44218,147903,1
7740,55416,1
29404,365945,1
389,304249,0
33825,228029,0
32987,322813,1
45505,171263,1
48494,79964,1
27275,349939,1
26751,44535,0
3928,273631,1
20639,370752,0
18345,61374,0
29825,54673,0
46209,312657,0
29705,114116,1
49931,39240,0
32063,264099,1
31299,55888,0
40107,241617,1
2237,100420,1
29929,138683,1
25757,75337,1
37332,52079,1
674,329136,0
33976,366861,0
35873,71136,1
34499,308811,1
41646,159342,1
43080,342160,0
33438,193076,1
48056,297348,1
15706,195411,1
28303,197403,1
31067,173802,0
41266,48830,1
2079,154075,1
14102,229459,0
35533,43960,0
37029,104688,1
44428,90884,1
42524,120534,1
2892,37718,1
2188,312190,1
35627,29759,0
40295,331209,1
33130,205922,1
3488,48624,1
22876,85789,1
45543,824,0
29446,51243,1
41525,260338,1
36676,338332,0
35431,359606,0
458,51992,0
41179,180366,0
3201,205528,1
32265,370936,0
46694,231201,1
17242,167856,1
4268,27430,0
21647,268154,0
28468,325118,0
45931,278558,1
4954,250046,1
3404,368947,1
22166,261481,1
36644,108669,1
23193,173905,0
28118,320962,0
37771,11505,1
34068,335795,1
36730,2858,1
7328,29006,1
15740,183375,1
30332,344693,1
35619,197270,0
18200,179879,1
2640,221565,1
18721,270330,1
34027,207909,1
18873,340936,1
9188,243589,0
31107,188464,1
6022,75791,1
36931,111225,0
27071,189814,0
29208,5358,1
42193,224659,0
15909,232944,0
41928,161020,1
22683,122696,1
4391,303342,1
8004,102399,0
29280,186426,1
39701,74358,1
7959,235377,1
10882,143810,0
7684,103335,0
24158,352243,1
47329,316524,1
41085,310897,1
25072,329595,1
18972,361309,0
21716,1797,1
45156,174151,0
27905,276117,1
11078,109806,1
19220,12801,1
32133,2433,1
28732,125039,0
48772,203388,1
6945,4100,1
31351,249089,1
22656,339724,1
46906,226871,1
38635,107623,0
33934,103325,1
32767,183285,1
41242,176349,0
4439,60649,0
22802,93288,0
18014,255851,1
27395,108489,1
43952,65808,1
34565,157408,1
16482,348969,1
5576,113805,1
41396,103175,1
323,170136,1
34748,219879,1
29962,286750,1
13021,127874,1
21395,367329,1
13036,117401,0
3922,222799,1
27987,216229,0
26286,182635,0
49494,90138,0
22306,135828,1
35171,307048,1
15068,193240,1
20766,21449,1
37359,135521,0
37854,231873,1
47824,82156,0
41869,322140,1
46790,297474,1
49589,106512,0
35065,185231,1
24000,24823,1
12594,198082,1
34212,152469,0
39446,108459,1
24864,204509,1
49700,112414,1
35327,127457,1
32725,270139,1
12680,155151,0
13705,355874,1
41586,278179,0
46232,184971,1
14522,108398,1
21934,346666,1
15771,19540,1
14366,283478,1
33757,232432,1
29731,62716,1
2542,337309,1
49318,182866,1
6286,105190,1
46454,210481,1
42685,150455,1
46759,37146,1
16259,355111,0
46866,87443,1
2639,166810,0
11470,239905,0
39139,346535,1
13679,65702,1
18792,206715,1
32176,295368,0
10854,144159,1
4050,208722,1
16462,126321,1
10654,91438,1
30842,79258,1
14816,218906,1
30798,192385,1
4958,271709,1
32834,46547,1
24516,323674,1
19414,217526,0
37453,127424,0
26285,239680,1
34217,314533,1
2420,312419,1
46974,354135,1
42994,155795,0
1822,31368,0
48709,218271,0
16460,281460,1
15880,159641,1
5926,215927,1
13702,323241,1
43241,32955,1
11144,208028,1
35588,343156,0
2487,261482,0
46297,126171,1
33950,204547,1
25499,112164,1
18570,309546,1
11594,220362,1
38909,207653,1
21769,363681,0
6192,49905,1
23994,272951,1
39818,367996,0
46138,39911,1
9496,124081,1
38275,6405,0
3823,291739,0
28981,107429,1
16470,106011,0
41391,12390,1
14428,336410,1
6204,211000,0
2266,15463,1
38748,39092,1
27588,35883,1
5290,337475,1
27193,176478,0
19887,310820,1
40995,123494,1
34339,91472,0
15770,108328,0
32030,51723,1
16699,155646,1
5681,352373,1
6763,135539,0
1548,101066,1
34225,277689,1
31029,119069,1
35193,329750,0
44696,140903,1
45321,232253,1
43468,218274,0
16561,358348,0
3073,346246,1
11242,323359,1
18787,57426,1
4148,254310,1
17089,348674,0
35161,150471,1
17749,326780,1
46699,59245,1
11871,242162,0
3957,183347,1
7689,36057,0
12809,307883,1
31701,172177,0
22884,97059,1
5115,38753,0
16720,8391,1
11026,366390,0
5171,146093,0
37578,50218,0
9492,304554,1
17166,334491,1
47597,363504,1
15577,197401,1
322,305867,1
42895,282163,1
37399,49129,1
11059,4531,0
39542,86064,1
2736,206216,0
16028,288232,1
4372,160679,1
44872,271962,0
18303,19157,0
26632,360839,0
41406,267180,0
6424,61372,0
29394,89483,0
15934,190306,1
25362,212585,1
32241,292071,1
5794,284411,1
39682,174330,0
18301,164780,1
24110,192811,0
34379,336706,1
44655,218843,1
34376,190327,0
30778,28864,1
1586,40738,0
41580,78160,1
35128,332865,0
3863,95567,1
35345,187253,1
20950,66852,1
8289,141035,1
45130,175988,0
6072,284226,0
1232,312341,0
20259,274224,1
20796,51410,1
12786,12088,1
37103,107694,1
44761,119625,0
32025,159571,1
39381,58734,1
34117,363306,0
9002,317365,0
27307,130122,1
42964,50395,1
22471,326073,1
47601,274067,1
29219,177907,0
24579,98600,1
17384,239899,1
502,188615,1
37516,3441,0
44350,72678,0
16168,271065,1
26746,179174,1
140,116034,1
16474,313963,1
7809,349045,0
28853,221207,1
26376,359940,0
32191,363781,1
34002,51161,1
33759,266843,1
38829,20017,1
48288,109831,1
28920,151837,1
45518,111953,0
7611,361939,1
22725,232808,0
45593,284413,0
11095,253472,0
34638,81668,1
29538,106451,0
49214,325046,1
887,218500,1
18921,71480,0
39042,31192,1
39923,353081,1
41384,6003,0
23269,368457,1
14130,36162,1
30069,359251,1
21083,6519,1
24761,1184,1
36832,34768,0
4849,212519,1
12310,250274,1
32917,125060,0
18402,340314,1
3502,193942,1
8661,222829,0
44461,247727,0
29886,192306,0
9327,54599,0
20440,98430,1
16472,124254,1
44015,202346,1
41742,81222,1
17709,321716,1
5456,245787,0
24969,175699,1
42514,165539,1
9358,262563,1
39618,86498,0
16852,356267,1
32801,84080,1
48588,124098,1
466,121756,1
41415,315530,0
8632,52064,1
33600,352184,0
6966,371299,0
11736,321239,0
5866,365301,0
18620,284347,1
10369,4266,0
2738,371650,1
37365,352063,1
48011,263740,1
46709,224931,0
48251,281443,0
24375,62726,1
33465,109920,1
586,325912,0
17372,287241,1
8261,120130,1
5077,11518,0
14920,146138,1
24448,262561,0
20715,370914,0
38093,290746,1
5604,280425,1
44107,292679,1
48802,35106,1
26603,165914,0
49702,75185,1
18295,181667,1
25300,255869,0
8951,152207,0
18100,313379,1
22370,181354,1
35221,349097,0
4526,39836,1
17572,308614,1
36668,331985,0
25365,114706,0
2482,221184,1
23745,293244,1
33980,59542,1
39372,329272,1
346,100405,1
3784,3886,0
12984,229465,1
20094,153809,0
8334,126118,1
12156,189695,1
25930,294656,0
47127,69987,1
36992,247226,0
19805,13516,1
24398,68037,0
20317,75369,0
34460,182211,1
42892,149807,1
47681,21431,1
3089,109249,0
6203,111896,1
7748,308870,1
24237,356544,1
7349,189038,0
23739,112445,0
7121,264941,1
32192,19264,0
7641,179853,1
39328,221159,1
21162,315735,1
45329,95894,0
17084,138300,0
36388,346089,1
44094,108297,1
4759,113211,1
11297,220155,1
44283,157144,0
46308,74496,1
36083,37625,1
19019,372056,1
15457,204604,1
5577,171046,1
18997,20347,1
7301,124764,1
44351,362588,1
40802,306786,1
37157,29339,1
39161,213089,0
20373,101596,1
29079,298830,0
12621,111407,1
20410,178047,1
49579,153891,1
48567,280852,1
43823,192817,0
3459,343593,1
48945,83984,1
10161,168312,1
38759,120792,1
32978,302449,1
45789,3169,1
22165,97777,1
38712,135454,0
26511,323800,1
23479,255848,1
2845,20646,0
18069,49338,1
30813,319125,0
42080,82236,0
17318,104410,0
6321,104026,0
26256,51594,0
1323,297988,1
49073,302696,0
29749,238006,1
10210,146464,0
48696,14483,0
49138,202042,1
42904,180081,0
42981,20975,0
19985,38509,1
37635,146510,1
10466,270118,1
44171,264883,0
2254,47750,1
48513,292716,1
5325,169746,1
2898,220299,1
37459,122160,1
40058,13444,1
20779,266923,1
31523,139136,1
40323,182557,0
3834,313923,0
32327,71598,1
25134,116677,0
45155,157674,1
41858,43434,1
40206,58640,1
1078,91289,1
38068,200956,0
16215,36050,1
30451,334284,0
33979,32931,1
32892,295502,0
20977,287506,1
24660,95674,1
6155,209023,0
23334,210107,1
45214,206576,0
12859,22250,1
44791,193233,1
36459,80120,1
35461,25915,0
19521,316154,0
30001,82744,1
19089,45237,1
8863,307570,1
20744,347024,1
12882,197543,1
8517,342507,1
46712,294101,1
4854,346995,1
8265,260828,0
8666,40431,1
42461,329993,0
23073,245469,1
1552,347308,0
16086,263357,0
3247,72937,0
21841,357897,0
19196,278255,1
34813,20719,1
43400,237866,0
15099,24450,1
49192,336939,0
39352,239202,0
9797,39464,0
35405,79616,0
42049,332216,0
12038,47947,0
18323,72219,0
39749,209616,0
26272,349350,0
19864,330346,0
42999,32881,1
14359,195108,1
3610,309725,0
22343,322300,1
45855,51710,1
37212,335670,1
19662,300977,1
4935,236935,1
27422,209686,0
2865,336558,0
48520,64920,1
25898,16984,1
36061,345480,1
41767,325873,1
1013,270098,0
4829,287568,0
28824,253080,1
43658,141594,0
595,204404,1
24842,264797,1
40762,251765,1
45272,166396,1
25642,69168,1
34211,168173,0
8262,292357,1
4888,9047,1
47649,129501,1
40436,98401,1
25741,373562,1
42026,218511,0
47283,323956,1
15725,25513,1
18706,221523,0
14153,323663,1
38049,135938,1
9614,348085,0
26230,162448,1
43665,345645,1
35653,57982,1
30353,346582,1
30641,64190,0
10122,283840,1
25079,4433,0
43544,339318,0
48759,168866,0
49399,298365,1
35766,124459,1
47420,192195,0
48468,238258,1
1340,242740,1
45616,201399,1
34328,43339,1
23659,185435,1
31976,185389,1
45335,235043,0
13290,314685,1
30576,105260,1
23624,52788,0
35442,144347,1
862,148080,1
40567,142772,1
49421,366262,0
1047,126325,1
6682,75142,0
14765,103405,0
18692,10625,1
15156,352407,0
46274,22147,1
25755,4808,1
44561,166490,1
38388,247223,0
6407,335726,1
46267,270672,1
2089,368489,1
12303,188118,1
35253,193377,0
32273,98977,1
34396,213796,1
35391,166777,1
6399,92836,1
13798,153577,1
20068,38173,1
1588,153619,0
39610,331379,1
996,26596,1
555,302983,1
7553,221636,1
12316,334223,0
11556,310079,0
11414,286142,1
49744,245884,1
49622,104735,1
13844,253559,1
49600,110356,1
22092,339119,0
10973,25487,1
43827,7070,1
666,67858,0
22367,51857,1
40456,221921,1
2178,187459,0
14183,275854,1
1546,348667,0
35688,349925,1
22559,352700,1
18738,90383,0
8779,124882,0
36653,80834,0
18988,75195,0
32259,151040,1
10468,272236,1
4697,320584,1
36279,4388,1
31038,297454,1
44506,247774,0
47855,72473,0
49117,342435,1
23405,228266,1
25068,352756,0
19148,216181,1
23648,296414,0
48172,341918,0
14993,13138,1
25509,118091,1
38298,315451,1
40136,173992,0
10136,316522,1
31546,99030,1
16221,89982,1
47836,312823,1
38608,15330,1
1929,359022,0
27803,241525,0
29519,18158,1
5793,276184,0
40297,118330,0
36093,164979,1
18562,6344,0
44421,214750,1
27132,342709,1
48190,351508,0
25151,229536,1
37271,11059,1
9728,28190,1
10014,28532,1
49631,61800,1
40904,147757,1
6863,24270,0
45417,347793,1
32461,42634,1
4338,36982,1
26331,368120,1
17271,89514,1
22080,211867,1
1037,37502,0
35620,241073,1
32650,84249,0
44988,267729,1
34827,118132,1
34256,106557,0
48393,203824,1
38118,58115,1
44481,157877,0
9063,122203,1
8137,336852,1
3981,190833,1
19870,248474,1
27500,47717,1
45400,266052,1
30824,138460,1
47493,89874,1
29840,357840,1
6156,292427,0
32642,48307,1
41676,303971,0
40213,223165,0
43975,231095,0
17589,29325,1
15308,366954,0
11427,214230,1
38081,333997,0
6411,27158,0
24200,24580,1
7490,325717,1
29069,34514,1
21980,4368,1
16567,209090,1
47962,87549,1
31514,178101,0
49750,99274,0
1847,324600,0
2250,43127,0
16922,272456,1
32237,170085,0
34264,134353,0
48770,243534,1
43004,188716,1
10380,235413,1
6293,98752,1
25465,174452,1
42242,98756,0
31039,211592,0
24870,156227,1
36799,225420,1
13267,194611,1
37980,229107,1
36284,269810,1
888,69199,1
33986,204972,0
5048,212096,1
44040,195083,0
39282,23835,0
43254,5333,1
23772,334822,1
30325,153861,1
29322,177087,0
18017,49631,1
1049,188505,1
44042,370761,0
41366,327657,0
26526,89695,1
14716,367577,1
4513,48509,0
27346,69435,1
23848,103600,1
38554,262181,0
6296,364003,0
9076,333286,0
2615,130424,0
47757,371379,1
30595,126565,1
32551,145840,1
26697,139791,0
39763,293151,1
35713,198315,0
35195,16647,1
25880,181679,1
28034,312782,1
12267,359082,0
39117,106992,0
20473,207372,0
5749,270281,1
25736,45205,1
5146,232636,1
42305,67913,1
7516,1493,1
24526,74942,0
12,205375,0
46442,42739,0
15080,198144,1
29945,9605,0
31349,280587,0
44370,300430,1
47116,60633,1
15688,359345,1
41903,278279,0
24737,108966,1
25978,349574,1
26342,70806,0
21833,33430,0
32795,45289,1
7887,278509,1
35326,338451,0
43776,187043,0
9069,27676,1
38137,94677,0
28218,208345,0
24148,110355,1
21677,313589,1
26545,268274,1
34904,202239,0
21936,131329,1
45007,216870,1
49749,172370,1
27780,371751,1
46803,182272,1
49569,63516,1
22372,329693,1
28133,168001,1
47469,58076,1
6920,333514,1
15646,164483,0
30701,221611,1
293,17958,0
6339,153204,0
34006,89085,1
47355,230535,0
6311,174362,1
11106,151750,1
29785,177282,1
20075,174471,1
36129,336774,0
2206,139084,0
7540,361898,0
42655,273928,0
34461,358118,1
40779,299352,1
28764,362385,1
38083,308324,1
1435,22291,0
46221,50675,0
21178,30591,1
36711,11792,1
967,118055,0
2548,137666,1
13246,196968,0
48546,247468,0
5253,174577,1
2081,72611,0
15952,161341,1
16029,182495,1
17106,320622,0
44942,191025,1
42182,230352,0
18584,246931,1
6130,209983,1
8313,356417,1
45919,144874,0
38976,44859,1
30886,175873,1
44926,268471,1
18066,255389,0
7697,75686,1
43837,20883,0
38872,162305,1
38470,126770,1
31621,288819,1
40827,272868,1
5349,243022,1
21593,129035,1
33931,32308,1
35459,42690,1
32341,219509,0
26176,18130,1
45859,195304,1
26245,81000,1
1205,359002,1
34535,37974,0
9761,217632,0
20303,284506,1
16835,87226,1
33095,212385,0
16403,246030,0
7368,227162,1
16007,222699,1
25634,365172,1
22681,330932,0
14802,190111,1
35814,130552,1
35132,21881,1
32682,295684,1
9842,25842,1
19136,167711,1
36085,194929,1
15569,266671,1
9815,204946,1
41784,220322,0
5817,211798,0
33809,4803,0
20521,177360,0
13086,336490,0
40996,295612,1
45494,154100,0
35484,210409,0
43935,235971,1
2175,236728,0
235,260440,1
15336,193238,0
49142,90775,0
9455,69190,0
2068,20232,1
23987,7311,1
29179,189773,0
49881,253714,1
6097,207235,1
46484,3892,0
2274,112186,1
20199,319537,1
43970,263982,1
46874,94831,0
49923,185364,0
13153,193712,0
47935,349360,1
3885,53502,0
41367,347530,1
29574,75053,1
42791,274171,1
36779,310314,0
32550,242577,1
37248,109005,0
26486,213859,0
46384,14741,1
45522,221661,1
4646,27343,1
40072,194191,1
31475,248613,0
25353,345971,1
41783,130520,1
12889,292431,0
29282,8894,1
10972,346296,1
34886,146357,1
32553,319314,0
48115,359759,1
34545,233274,1
39561,286291,0
13261,291753,1
5438,270636,0
27691,71634,0
6938,154187,1
3776,221271,0
23970,254438,1
2125,162347,0
8325,108127,0
23640,91697,1
44411,364073,0
45566,205761,1
21942,340307,1
39735,105514,0
6983,258558,0
39734,296416,1
4807,304799,1
35553,121596,0
49055,207258,0
43196,76706,1
15905,218064,0
5335,220915,1
43895,276373,0
48539,228673,1
4285,249872,1
40333,42423,0
18812,217236,0
214,269391,0
24387,67609,1
16741,180974,0
25121,327407,1
46885,64949,0
44954,250717,0
41394,251190,1
20816,314134,1
27600,237129,1
39007,338128,0
18285,248454,1
11120,76762,1
38448,290282,1
37259,266936,1
1922,338030,1
34176,330336,1
40022,47056,1
10265,116931,0
29523,224967,1
46438,123815,1
43285,195795,1
45582,249589,1
13108,108128,0
15507,258093,1
31472,131624,1
15250,142869,1
30788,309186,0
37899,309671,0
14675,325934,1
6810,239232,1
16930,259897,0
1470,304456,1
8485,165515,0
43376,285199,1
2129,124045,0
9518,280345,0
24061,29684,1
47582,150432,1
11997,327857,0
3341,283067,1
40353,89976,1
1687,154875,0
30839,242940,1
29876,334547,1
23050,15876,0
19331,91181,1
4233,319388,1
17034,259437,1
38367,176695,0
29066,38537,0
27502,84888,0
38133,316198,1
33887,348617,0
9516,279694,0
11441,106768,1
40423,189232,1
31647,322215,0
7859,155551,1
31432,266929,0
22617,251199,1
24980,19475,0
24528,240269,1
22126,271286,0
31379,50307,0
4093,55396,0
29596,110923,1
43868,142567,1
37991,189313,1
39175,51315,0
8077,252228,1
3982,291055,1
46933,95372,0
2104,169802,1
28145,125479,1
35643,315063,1
15039,254192,1
22106,100495,0
42618,51000,1
32470,59231,1
33080,274920,1
14272,159480,1
7985,66103,1
3640,6725,0
45390,350003,0
10398,51347,1
40154,181093,0
5321,7175,1
36026,91351,1
37075,215094,0
